has a clasp,has a pendant,is expensive,is for females,is worn around the neck,made of gold,made of pearls,made of silver,label
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1
0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1
1,1,0,1,1,1,0,0,1
1,0,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,1
0,0,1,0,0,0,1,0,0
1,0,1,1,1,1,0,1,1
1,1,1,1,1,0,0,0,1
0,1,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1
0,1,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1
0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1
1,0,1,1,1,0,0,1,1
1,0,1,1,1,1,0,0,1
0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,1,1
1,1,1,1,1,0,0,0,1
1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1
1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1,1
1,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1
1,0,1,1,1,0,1,0,1
0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,1,0,1
0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,0,1,1
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,1,1
0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,0,1,1
0,1,1,1,1,0,0,0,1
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,0,1
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0
0,1,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1
1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,1,1,1
1,1,0,0,1,0,0,0,1
1,1,0,1,1,0,0,1,1
1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1
0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1
1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,1,1
1,0,1,1,1,0,0,1,1
0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1
0,0,0,0,1,1,0,0,0
1,1,0,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,0,1,1
1,0,1,1,1,0,1,1,1
1,1,0,1,1,0,0,0,1
1,1,1,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,1
1,0,1,1,1,0,0,1,1
1,0,1,1,1,0,0,0,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,1
1,1,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,1,1
1,1,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,1
0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,1,1,1
1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,0,0,1
1,1,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,1,1
0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1
0,0,0,1,0,1,0,0,0
1,1,1,1,1,0,1,0,1
1,0,0,0,0,0,0,0,0
